Player,Club,POS,RACE,GP,GS,MINS,Fouls
Jack McInerney,POR,F,W,24,8,904,16
Jacob Peterson,KC,F,W,21,18,1500,8
Jalil Anibaba,HOU,D,B,30,28,2614,27
Jamison Olave,RSL,D,B,17,16,1482,10
Jared Jeffrey,DC,M,W,21,14,1314,40
Jared Watts,COL,D,W,21,18,1647,18
Jason Hernandez,NYC,D,B,31,26,2292,26
Javier Morales,RSL,M,W,29,23,2182,32
Jay Chapman,TOR,M,W,18,9,780,14
Jeff Larentowicz,LA,M,W,23,17,1501,33
Jefferson Mena,NYC,D,B,16,16,1306,14
Jelle Van Damme,LA,D,W,28,28,2436,44
Jermaine Jones,COL,M,B,9,8,725,21
Jermaine Taylor,POR,D,B,23,21,1841,27
Je-Vaughn Watson,NE,D,B,23,19,1705,24
Jimmy Medranda,SKC,M,B,28,22,1939,36
Joao Meira,CHI,D,W,28,26,2284,35
Joao Plata,RSL,F,B,30,28,2478,13
Joevin Jones,SEA,D,B,33,29,2547,29
Johan Kappelhof,CHI,D,B,33,31,2789,35
Johan Venegas,MTL,M,B,20,7,683,18
John Goossens,CHI,M,W,24,15,1288,10
John Stertzer,RSL,M,W,18,9,777,14
Jonathan Campbell,CHI,D,W,33,30,2823,14
Jonathan Osorio,TOR,M,W,30,26,2440,25
Jordan Allen,RSL,M,B,23,11,1099,15
Jordan Hamilton,TOR,F,B,14,11,911,9
Jordan Harvey,VAN,D,W,28,28,2520,26
Jordan Morris,SEA,F,W,34,32,2856,29
Jordan Smith,VAN,D,B,17,15,1267,18
Jordan Stewart,SJ,M,B,15,14,1221,15
Jose Aja,ORL,D,W,10,9,830,16
Jose Goncalves,NE,D,B,28,28,2519,41
Josh Williams,TOR,D,W,15,11,918,7
Joshua Yaro,PHI,D,B,17,15,1327,12
Jozy Altidore,TOR,F,B,23,16,1487,43
Juan Agudelo,NE,F,B,24,14,1349,31
Juan Manuel Martinez,RSL,F,W,32,29,2519,24
Julio Baptista,ORL,F,B,23,5,729,6
Justen Glad,RSL,D,W,28,27,2424,24
Justin Meram,CLB,M,W,33,31,2605,21
Justin Morrow,TOR,D,B,31,31,2653,8
Keegan Rosenberry,PHI,D,W,34,34,3060,13
Kei Kamara,NE,F,B,30,30,2659,40
Kekuta Manneh,VAN,M,B,17,13,1139,9
Kellyn Acosta,DAL,M,B,32,24,2328,38
Kelyn Rowe,NE,M,W,33,32,2787,43
Kemar Lawrence,NY,D,B,21,21,1801,26
Ken Tribbett,PHI,D,W,22,19,1727,15
Kendall Waston,VAN,D,B,26,26,2266,43
Kennedy Igboananike,DC,F,B,25,20,1754,35
Kevin Alston,ORL,D,B,24,21,1989,23
Kevin Doyle,COL,F,W,26,24,2178,31
Kevin Ellis,KC,D,B,14,10,953,8
Kevin Molino,ORL,M,B,30,26,2315,38
Khaly Thiam,CHI,M,B,20,15,1285,27
Khiry Shelton,NYC,F,B,22,13,1159,10
Kofi Opare,DC,D,B,10,10,874,17
Kofi Sarkodie,SJ,D,B,13,12,1043,11
Kyle Beckerman,RSL,M,W,27,27,2367,48
Kyle Bekker,MTL,M,W,18,13,1139,14
Lamar Neagle,DC,M,B,31,21,1950,31
Laurent Ciman,MTL,D,W,28,28,2484,24
Lawrence Olum,SKC,M,B,19,17,1469,13
Lee Nguyen,NE,M,W,33,33,2900,36
Liam Ridgewell,POR,D,W,22,22,1980,25
Lloyd Sam,DC,M,B,29,26,2025,23
London Woodberry,NE,D,B,25,23,2068,31
Lucas Melano,POR,F,W,31,27,2268,29
Lucas Ontivero,MTL,M,W,21,12,980,24
Luciano Acosta,DC,F,W,31,25,2109,47
Luis Solignac,CHI,F,W,31,24,2177,30
Luke Boden,ORL,D,W,20,19,1613,19
Luke Mulholland,RSL,M,W,33,23,2028,54
Marc Burch,COL,D,W,28,27,2443,25
Marcelo Sarvas,DC,M,W,28,26,2247,67
Marco Delgado,TOR,M,W,28,23,1995,30
Marco Donadel,MTL,M,W,21,18,1515,40
Marco Pappa,COL,M,W,20,10,895,10
Marlon Hairston,COL,D,B,21,14,1272,11
Marvell Wynne,SJ,D,B,32,31,2769,22
Masato Kudo,VAN,F,W,17,12,894,12
Matias Laba,VAN,M,W,32,32,2729,71
Matias Perez Garcia,ORL,M,W,27,19,1635,14
Matt Besler,SKC,D,W,18,17,1546,14
Matt Hedges,DAL,D,W,26,26,2334,28
Matt Polster,CHI,M,W,27,24,2107,39
Matteo Mancosu,MTL,F,W,15,7,772,9
Mauro Diaz,DAL,M,W,27,24,2149,32
Mauro Manotas,HOU,F,B,22,10,1054,11
Maximiliano Urruti,DAL,F,W,30,29,2482,42
Maynor Figueroa,DAL,D,B,28,28,2434,27
Mekeil Williams,COL,D,B,21,17,1468,12
Michael Barrios,DAL,M,B,32,30,2454,23
Michael Bradley,TOR,M,W,24,24,2160,28
Michael de Leeuw,CHI,F,W,18,17,1465,31
Michael Harrington,CHI,D,W,19,16,1291,10
Michael Parkhurst,ATL,D,W,34,34,3036,11
Michael Salazar,MTL,F,B,17,8,711,17
Michael Stephens,CHI,M,W,17,11,948,5
Micheal Azira,COL,M,B,31,28,2503,65
Mike Grella,NY,M,W,32,28,2410,35
Mike Magee,LA,M,W,30,16,1467,15
Mix Diskerud,NYC,M,W,12,9,812,7
Mohammed Saeid,CLB,M,B,25,24,2016,14
Nat Borchers,POR,D,W,21,21,1812,10
Nelson Valdez,SEA,F,W,24,8,900,21
Nick DeLeon,DC,M,B,32,27,2509,21
Nick Hagglund,TOR,D,W,16,8,847,13
Nicolai Naess,CLB,D,W,13,13,1155,8
Nicolas Lodeiro,SEA,M,W,13,13,1170,8
Nicolas Mezquida,VAN,M,W,28,17,1395,19
Nigel de Jong,LA,M,B,18,18,1561,20
Nuno Coelho,KC,D,W,22,20,1618,4
Octavio Rivero,VAN,F,W,12,9,757,25
Ola Kamara,CLB,F,B,25,20,1859,24
Olmes Garcia,RSL,F,B,24,9,964,23
Osvaldo Alonso,SEA,M,W,32,32,2826,51
Patrice Bernier,MTL,M,B,20,13,1185,22
Patrick Mullins,DC,F,W,21,14,1278,31
Patrick Nyarko,DC,M,B,26,23,1828,19
Pedro Morales,VAN,M,W,27,26,2073,15
Quincy Amarikwa,SJ,F,B,23,22,1699,55
Rafael Ramos,ORL,D,W,12,12,1015,12
Raul Rodriguez,HOU,D,W,25,24,2128,23
Razvan Cocis,CHI,M,W,30,19,1901,25
Ricardo Clark,HOU,M,B,32,29,2551,51
Ricardo dos Santos Leite (Kaka),ORL,M,W,24,23,1955,17
Richie Marquez,PHI,D,W,33,33,2970,32
RJ Allen,NYC,D,W,24,19,1751,39
Rob Vincent,DC,M,W,20,12,1137,11
Robbie Keane,LA,F,W,17,16,1426,7
Robbie Rogers,LA,D,W,21,19,1655,22
Rodrigo Ramos,CHI,D,B,21,16,1484,25
Roger Espinoza,SKC,M,W,30,30,2679,65
Roland Alberg,PHI,M,B,28,13,1153,28
Roman Torres,SEA,D,B,9,8,765,5
Ronald Matarrita,NYC,D,W,25,23,1988,28
Ronald Zubar,NYR,D,B,21,19,1593,15
Russell Teibert,VAN,M,W,11,8,696,16
Ryan Hollingshead,DAL,D,W,29,22,2024,36
Saad Abdul-Salaam,SKC,D,B,30,26,2377,32
Sacha Kljestan,NY,M,W,32,30,2623,42
Sal Zizzo,NY,D,W,28,20,1920,15
Sam Cronin,COL,M,W,33,33,2924,54
Scott Caldwell,NE,M,W,32,31,2622,35
Sean Davis,NY,M,W,21,11,1108,18
Sean Franklin,DC,D,B,29,29,2494,39
Sebastian Giovinco,TOR,F,W,28,28,2418,32
Sebastian Hines,ORL,D,B,26,23,2105,38
Sebastian Lletget,LA,M,W,31,23,2057,20
Sebastien Le Toux,COL,F,W,32,21,1861,12
